long_edit,sc,usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,acceptedUsageKey,verbatim_name,verbatim_index
Stellaria palustris,1988,8407946,Stellaria palustris Ehrh. ex Retz.,Stellaria palustris,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria palustris,6,7707728,220,422,2518,3085667,8407946,FALSE,Magnoliopsida,NA,Stellaria palustris,178
Symphytum x uplandicum,4627,2926068,Symphytum ×uplandicum Nyman,Symphytum uplandicum,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Boraginales,Boraginaceae,Symphytum,Symphytum uplandicum,6,7707728,220,7226464,2498,2926061,2926068,FALSE,Magnoliopsida,NA,Symphytum x uplandicum,179
Taraxacum,5814,7787708,Taraxacum Weber,Taraxacum,GENUS,ACCEPTED,94,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Taraxacum,NA,6,7707728,220,414,3065,7787708,NA,FALSE,Magnoliopsida,NA,Taraxacum,180
Tripleurospermum perforatum,5543,3104190,Tripleurospermum perforatum (Mérat) Wagenitz,Tripleurospermum perforatum,SPECIES,SYNONYM,97,EXACT,Plantae,Tracheophyta,Asterales,Asteraceae,Tripleurospermum,Tripleurospermum inodorum,6,7707728,220,414,3065,3104137,3104179,TRUE,Magnoliopsida,3104179,Tripleurospermum perforatum,181
Trifolium repens,3526,5358748,Trifolium repens L.,Trifolium repens,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Trifolium,Trifolium repens,6,7707728,220,1370,5386,2973363,5358748,FALSE,Magnoliopsida,NA,Trifolium repens,182
Typha angustifolia,7439,5289461,Typha angustifolia L.,Typha angustifolia,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Poales,Typhaceae,Typha,Typha angustifolia,6,7707728,196,1369,4246,2702102,5289461,FALSE,Liliopsida,NA,Typha angustifolia,183
Typha latifolia,7441,5289423,Typha latifolia L.,Typha latifolia,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Poales,Typhaceae,Typha,Typha latifolia,6,7707728,196,1369,4246,2702102,5289423,FALSE,Liliopsida,NA,Typha latifolia,184
Urtica dioica,1595,7960979,Urtica dioica L.,Urtica dioica,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Rosales,Urticaceae,Urtica,Urtica dioica,6,7707728,220,691,6639,2984391,7960979,FALSE,Magnoliopsida,NA,Urtica dioica,185
Valeriana sambucifolia ssp. sambucifolia,5291,9726627,Valeriana sambucifolia subsp. sambucifolia,Valeriana sambucifolia sambucifolia,SUBSPECIES,SYNONYM,98,EXACT,Plantae,Tracheophyta,Dipsacales,Caprifoliaceae,Valeriana,Valeriana excelsa,6,7707728,220,946,6710,2888741,8188719,TRUE,Magnoliopsida,8691051,Valeriana sambucifolia ssp. sambucifolia,186
Veronica anagallis-aquatica,5041,3172086,Veronica anagallis-aquatica L.,Veronica anagallis-aquatica,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Veronica,Veronica anagallis-aquatica,6,7707728,220,408,2420,3172047,3172086,FALSE,Magnoliopsida,NA,Veronica anagallis-aquatica,187
Veronica beccabunga,5039,3172062,Veronica beccabunga L.,Veronica beccabunga,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Veronica,Veronica beccabunga,6,7707728,220,408,2420,3172047,3172062,FALSE,Magnoliopsida,NA,Veronica beccabunga,188
Veronica catenata,5045,3172092,Veronica catenata Pennell,Veronica catenata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Veronica,Veronica catenata,6,7707728,220,408,2420,3172047,3172092,FALSE,Magnoliopsida,NA,Veronica catenata,189
Veronica montana,5035,8328247,Veronica montana L.,Veronica montana,SPECIES,ACCEPTED,97,EXACT,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Veronica,Veronica montana,6,7707728,220,408,2420,3172047,8328247,FALSE,Magnoliopsida,NA,Veronica montana,190
Veronica scutellata,5036,3172072,Veronica scutellata L.,Veronica scutellata,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Lamiales,Plantaginaceae,Veronica,Veronica scutellata,6,7707728,220,408,2420,3172047,3172072,FALSE,Magnoliopsida,NA,Veronica scutellata,191
Vicia cracca,3403,2975287,Vicia cracca L.,Vicia cracca,SPECIES,ACCEPTED,98,EXACT,Plantae,Tracheophyta,Fabales,Fabaceae,Vicia,Vicia cracca,6,7707728,220,1370,5386,2974751,2975287,FALSE,Magnoliopsida,NA,Vicia cracca,192
Viola palustris,3909,5331355,Viola palustris L.,Viola palustris,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Malpighiales,Violaceae,Viola,Viola palustris,6,7707728,220,1414,6631,2874237,5331355,FALSE,Magnoliopsida,NA,Viola palustris,193
Zannichellia palustris,6513,2756540,Zannichellia palustris L.,Zannichellia palustris,SPECIES,ACCEPTED,99,EXACT,Plantae,Tracheophyta,Alismatales,Potamogetonaceae,Zannichellia,Zannichellia palustris,6,7707728,196,551,6721,2652929,2756540,FALSE,Liliopsida,NA,Zannichellia palustris,194
